"a_number","b_number","duration","weight","startTime","callDay","startDate"
"089-1000001","089-1000082","451","451.0","21.57","Thursday","20150908"
"089-1000001","089-1000065","461","461.0","1.54","Sunday","20150913"
"089-1000001","089-1000058","496","496.0","12.38","Thursday","20150931"
"089-1000001","089-1000028","442","442.0","6.37","Thursday","20150923"
"089-1000001","089-1000095","115","115.0","0.55","Wednesday","20150911"
"089-1000070","089-1000033","306","306.0","18.24","Tuesday","20150920"
"089-1000070","089-1000015","14","14.0","20.31","Tuesday","20150902"
"089-1000070","089-1000096","258","738.0","22.42","Thursday","20150910"
"089-1000070","089-1000075","146","146.0","17.25","Sunday","20150914"
"089-1000070","089-1000010","203","203.0","12.25","Wednesday","20150913"
"089-1000070","089-1000096","86","86.0","8.33","Tuesday","20150902"
"089-1000070","089-1000035","75","75.0","14.26","Monday","20150903"
"089-1000051","089-1000022","452","452.0","10.11","Sunday","20150910"
"089-1000051","089-1000055","264","264.0","13.38","Saturday","20150907"
"089-1000051","089-1000048","500","500.0","20.32","Friday","20150929"
"089-1000051","089-1000003","429","429.0","7.51","Friday","20150925"
"089-1000051","089-1000042","135","135.0","22.4","Wednesday","20150930"
"089-1000051","089-1000013","266","266.0","2.26","Tuesday","20150918"
"089-1000051","089-1000088","113","113.0","15.3","Thursday","20150917"
"089-1000051","089-1000026","563","563.0","7.37","Monday","20150907"
"089-1000051","089-1000071","343","343.0","14.19","Friday","20150907"
"089-1000051","089-1000011","173","173.0","14.15","Thursday","20150915"
"089-1000051","089-1000024","405","405.0","21.11","Sunday","20150905"
"089-1000051","089-1000008","372","372.0","15.1","Wednesday","20150905"
"089-1000051","089-1000099","235","235.0","7.1","Friday","20150907"
"089-1000075","089-1000000","530","2690.0","5.55","Monday","20150907"
"089-1000075","089-1000026","167","167.0","4.19","Saturday","20150931"
"089-1000075","089-1000031","248","248.0","23.16","Saturday","20150902"
"089-1000075","089-1000060","141","141.0","13.32","Monday","20150905"
"089-1000075","089-1000002","520","520.0","2.3","Saturday","20150918"
"089-1000075","089-1000100","295","295.0","8.24","Monday","20150905"
"089-1000075","089-1000000","405","405.0","9.23","Thursday","20150916"
"089-1000075","089-1000039","391","391.0","2.59","Thursday","20150917"
"089-1000075","089-1000004","250","250.0","6.58","Wednesday","20150930"
"089-1000075","089-1000000","92","92.0","4.41","Wednesday","20150902"
"089-1000075","089-1000014","193","193.0","16.43","Monday","20150905"
"089-1000013","089-1000031","164","164.0","3.17","Wednesday","20150904"
"089-1000013","089-1000006","148","148.0","3.12","Sunday","20150928"
"089-1000013","089-1000074","187","187.0","12.49","Saturday","20150909"
"089-1000013","089-1000077","458","458.0","13.27","Tuesday","20150926"
"089-1000013","089-1000081","154","154.0","2.59","Sunday","20150916"
"089-1000013","089-1000038","177","177.0","20.42","Monday","20150921"
"089-1000013","089-1000021","486","486.0","3.16","Saturday","20150920"
"089-1000013","089-1000079","39","39.0","9.1","Thursday","20150912"
"089-1000096","089-1000001","424","424.0","3.22","Friday","20150923"
"089-1000096","089-1000089","160","160.0","2.16","Friday","20150917"
"089-1000096","089-1000067","38","38.0","21.14","Saturday","20150918"
"089-1000096","089-1000069","133","133.0","22.33","Monday","20150912"
"089-1000096","089-1000014","45","45.0","7.54","Monday","20150923"
"089-1000096","089-1000095","232","232.0","17.3","Monday","20150918"
"089-1000096","089-1000050","490","490.0","21.58","Wednesday","20150926"
"089-1000096","089-1000030","41","41.0","3.59","Friday","20150907"
"089-1000050","089-1000096","119","119.0","7.27","Monday","20150909"
"089-1000050","089-1000067","63","63.0","22.49","Saturday","20150916"
"089-1000050","089-1000093","470","470.0","3.18","Sunday","20150908"
"089-1000050","089-1000005","22","22.0","20.11","Wednesday","20150926"
"089-1000050","089-1000097","29","29.0","7.21","Thursday","20150909"
"089-1000050","089-1000026","351","351.0","18.42","Tuesday","20150924"
"089-1000050","089-1000037","146","146.0","23.59","Tuesday","20150908"
"089-1000050","089-1000055","206","206.0","3.41","Wednesday","20150925"
"089-1000050","089-1000058","554","554.0","6.15","Thursday","20150926"
"089-1000050","089-1000016","159","159.0","23.25","Monday","20150929"
"089-1000074","089-1000050","403","403.0","5.36","Wednesday","20150910"
"089-1000074","089-1000045","464","464.0","8.16","Tuesday","20150910"
"089-1000074","089-1000080","217","217.0","7.49","Sunday","20150929"
"089-1000074","089-1000017","279","279.0","8.4","Saturday","20150912"
"089-1000074","089-1000092","201","201.0","15.43","Friday","20150928"
"089-1000074","089-1000038","185","185.0","15.54","Thursday","20150922"
"089-1000074","089-1000086","473","473.0","16.17","Thursday","20150919"
"089-1000033","089-1000088","561","561.0","3.48","Tuesday","20150917"
"089-1000033","089-1000076","350","350.0","12.26","Tuesday","20150914"
"089-1000033","089-1000074","471","471.0","13.22","Monday","20150919"
"089-1000033","089-1000084","470","470.0","17.28","Wednesday","20150905"
"089-1000033","089-1000058","93","93.0","6.14","Tuesday","20150916"
"089-1000033","089-1000018","476","476.0","19.59","Thursday","20150929"
"089-1000033","089-1000060","237","237.0","3.58","Saturday","20150907"
"089-1000060","089-1000046","56","56.0","14.36","Monday","20150907"
"089-1000060","089-1000089","238","238.0","18.14","Monday","20150927"
"089-1000060","089-1000034","264","264.0","19.45","Sunday","20150913"
"089-1000060","089-1000027","428","428.0","13.18","Tuesday","20150917"
"089-1000060","089-1000053","582","582.0","12.44","Sunday","20150917"
"089-1000060","089-1000096","577","577.0","19.12","Sunday","20150912"
"089-1000060","089-1000032","21","21.0","16.23","Tuesday","20150910"
"089-1000060","089-1000099","257","1217.0","20.41","Sunday","20150906"
"089-1000060","089-1000099","233","233.0","16.58","Sunday","20150925"
"089-1000060","089-1000076","512","512.0","9.12","Thursday","20150922"
"089-1000060","089-1000075","484","484.0","10.26","Sunday","20150921"
"089-1000060","089-1000054","120","120.0","0.49","Monday","20150930"
"089-1000060","089-1000059","220","220.0","4.3","Tuesday","20150914"
"089-1000060","089-1000025","533","533.0","2.22","Thursday","20150901"
"089-1000088","089-1000051","393","393.0","17.23","Saturday","20150901"
"089-1000088","089-1000065","290","290.0","2.3","Friday","20150901"
"089-1000088","089-1000084","581","581.0","7.23","Friday","20150920"
"089-1000088","089-1000054","62","62.0","19.43","Monday","20150927"
"089-1000088","089-1000050","207","207.0","10.32","Sunday","20150915"
"089-1000088","089-1000027","50","50.0","15.47","Tuesday","20150929"
"089-1000088","089-1000100","125","125.0","15.39","Thursday","20150902"
"089-1000039","089-1000046","564","564.0","19.48","Thursday","20150921"
"089-1000039","089-1000024","441","441.0","20.12","Sunday","20150930"
"089-1000039","089-1000044","576","576.0","18.49","Saturday","20150905"
"089-1000010","089-1000010","281","581.0","0.3","Tuesday","20150913"
"089-1000010","089-1000064","552","552.0","9.33","Tuesday","20150930"
"089-1000010","089-1000092","423","423.0","22.23","Saturday","20150913"
"089-1000010","089-1000011","91","91.0","1.41","Thursday","20150916"
"089-1000010","089-1000025","229","229.0","18.34","Wednesday","20150924"
"089-1000010","089-1000028","273","273.0","11.54","Wednesday","20150913"
"089-1000010","089-1000042","460","460.0","10.24","Tuesday","20150925"
"089-1000018","089-1000006","531","531.0","1.26","Tuesday","20150924"
"089-1000018","089-1000049","231","951.0","4.58","Thursday","20150931"
"089-1000018","089-1000060","160","160.0","23.48","Monday","20150915"
"089-1000018","089-1000094","45","45.0","4.47","Wednesday","20150922"
"089-1000018","089-1000008","392","2792.0","16.29","Sunday","20150908"
"089-1000018","089-1000030","550","550.0","11.53","Saturday","20150921"
"089-1000018","089-1000005","589","589.0","7.2","Thursday","20150931"
"089-1000018","089-1000049","150","150.0","4.37","Tuesday","20150928"
"089-1000018","089-1000036","289","289.0","8.39","Wednesday","20150904"
"089-1000018","089-1000081","286","286.0","20.15","Monday","20150928"
"089-1000018","089-1000047","310","310.0","12.35","Tuesday","20150909"
"089-1000018","089-1000040","90","90.0","23.21","Monday","20150926"
"089-1000018","089-1000008","590","590.0","14.22","Monday","20150925"
"089-1000045","089-1000080","31","31.0","0.53","Thursday","20150907"
"089-1000045","089-1000073","13","13.0","19.27","Wednesday","20150930"
"089-1000045","089-1000087","211","211.0","16.37","Monday","20150931"
"089-1000045","089-1000055","241","241.0","17.44","Monday","20150913"
"089-1000045","089-1000041","155","155.0","6.51","Monday","20150913"
"089-1000045","089-1000077","396","396.0","19.46","Sunday","20150908"
"089-1000045","089-1000091","107","107.0","20.41","Sunday","20150913"
"089-1000045","089-1000060","504","1224.0","8.41","Monday","20150911"
"089-1000045","089-1000029","111","111.0","1.52","Sunday","20150913"
"089-1000045","089-1000048","188","188.0","5.55","Thursday","20150920"
"089-1000045","089-1000071","395","395.0","17.26","Wednesday","20150901"
"089-1000045","089-1000060","140","140.0","16.14","Saturday","20150917"
"089-1000045","089-1000037","117","117.0","9.22","Wednesday","20150905"
"089-1000032","089-1000097","212","1172.0","16.5","Tuesday","20150925"
"089-1000032","089-1000037","542","542.0","3.44","Monday","20150925"
"089-1000032","089-1000023","491","491.0","15.53","Monday","20150917"
"089-1000032","089-1000097","218","218.0","5.48","Saturday","20150909"
"089-1000032","089-1000007","278","278.0","17.49","Saturday","20150915"
"089-1000032","089-1000098","286","286.0","12.18","Monday","20150928"
"089-1000032","089-1000046","59","59.0","14.37","Tuesday","20150912"
"089-1000032","089-1000066","334","334.0","16.2","Wednesday","20150905"
"089-1000000","089-1000069","514","514.0","15.21","Thursday","20150904"
"089-1000000","089-1000082","582","582.0","5.44","Tuesday","20150909"
"089-1000000","089-1000094","342","342.0","10.11","Tuesday","20150902"
"089-1000000","089-1000012","18","18.0","17.22","Saturday","20150927"
"089-1000000","089-1000061","174","174.0","11.57","Sunday","20150915"
"089-1000000","089-1000018","139","139.0","17.5","Monday","20150913"
"089-1000083","089-1000002","171","171.0","22.57","Monday","20150931"
"089-1000083","089-1000049","14","14.0","0.11","Monday","20150931"
"089-1000083","089-1000087","170","170.0","6.42","Monday","20150915"
"089-1000083","089-1000035","272","272.0","12.11","Thursday","20150913"
"089-1000083","089-1000074","258","258.0","16.52","Friday","20150922"
"089-1000083","089-1000091","176","176.0","16.41","Thursday","20150903"
"089-1000083","089-1000089","442","442.0","13.2","Monday","20150905"
"089-1000083","089-1000047","28","28.0","6.31","Friday","20150931"
"089-1000083","089-1000097","22","22.0","21.27","Wednesday","20150906"
